#Table1
objID,ra,dec,r,rErr,extinction_r,z,zErr
1237652946914312336,358.366041034287,-10.5103936727819,16.78924,0.02264877,0.0898133,0.07274252,2.270447E-05
1237652946914377810,358.418834134688,-10.4055363903894,15.18695,0.02755401,0.09575485,0.07403867,1.314975E-05
1237652946914377852,358.466398544114,-10.4980913937259,16.90028,0.02793457,0.09021369,0.07632616,2.267611E-05
1237652900210606228,358.482526944543,-10.3538240361788,17.58542,0.02000297,0.1060503,0.07300939,2.242063E-05
1237652946914443533,358.612647919558,-10.4821045629962,17.67352,0.02370743,0.08498535,0.07618929,2.794466E-05
1237652629097939087,358.525259829771,-10.7232380765131,16.92861,0.0235179,0.08666564,0.07812314,2.360082E-05
1237652629097873521,358.386430633077,-10.5735660108274,16.05306,0.0214338,0.0950365,0.08175612,1.271668E-05
1237652900210671760,358.675231201017,-10.3086102369673,17.03388,0.03001035,0.08731857,0.07488113,2.487209E-05
1237652946914508935,358.837265492222,-10.3705898518057,15.99341,0.01383383,0.07740847,0.07453879,1.702223E-05
1237652946914312441,358.361738286515,-10.4117106592014,17.47079,0.03692668,0.08882458,0.07227995,1.058763E-05
1237652947451314278,358.555510081361,-10.1202792129383,17.24685,0.02511108,0.08751155,0.0763411,1.149014E-05
1237652946914443438,358.542760032038,-10.4630895617459,17.54536,0.02297495,0.09068899,0.07821825,2.292796E-05
1237652629097939008,358.438482220468,-10.5941234152986,17.15763,0.02364032,0.09713963,0.0790453,2.385818E-05
1237652900210671798,358.723468415723,-10.3254721787453,17.54261,0.03237171,0.0819739,0.07269542,7.746587E-06
1237652946914443294,358.575390701893,-10.4154275315323,16.87869,0.03181088,0.09861225,0.07724106,2.197567E-05
1237652900210540620,358.328401868459,-10.3022531760126,16.83087,0.0171793,0.08986859,0.07512826,2.394401E-05
1237652946914312298,358.329507252336,-10.3842410759793,16.08798,0.02268376,0.08639943,0.074361,2.559896E-05
1237652946914443507,358.577657885961,-10.5433535332862,15.71347,0.02163676,0.08242022,0.07171768,1.583444E-05
1237652900210540605,358.29846108501,-10.3098459212989,17.41576,0.01760041,0.08859064,0.0725549,1.250224E-05
1237652900210606287,358.534299877786,-10.2078053022934,16.88629,0.02038267,0.09839638,0.08106508,8.905045E-06
1237652900210606154,358.554832569199,-10.1660827811966,16.63639,0.1451002,0.09234835,0.06599411,1.519609E-05
1237652900210671722,358.653507501486,-10.2994747585546,17.41939,0.03238907,0.08986805,0.07748817,9.67985E-06
1237652900210671777,358.698377399504,-10.2056504587632,17.64479,0.03017394,0.08270359,0.08026314,2.683543E-05
1237652900210540635,358.349994638889,-10.1473695236867,16.73628,0.01595206,0.09316402,0.07613127,1.821511E-05
1237652900210606084,358.444456904245,-10.2708013506965,15.23304,0.01919684,0.1019261,0.07931663,1.659766E-05
1237652900210671677,358.597580536215,-10.3466823091236,16.84482,0.0297122,0.0991807,0.0804278,2.075754E-05
1237652900210540734,358.35993849415,-10.263645963557,17.64439,0.02432607,0.09522441,0.07468603,3.971123E-05
1237652947451445272,358.874023840613,-10.0637739437726,15.91908,0.01619374,0.07887425,0.04227507,1.058533E-05
1237652946914377804,358.416146614563,-10.4299164079696,16.47134,0.03025002,0.09296416,0.07520495,2.568207E-05
1237652900210606260,358.514616648393,-10.3492782432787,16.59591,0.01924595,0.1068485,0.0707315,1.798403E-05
